id,Transcript,QX1410,transcript_CTROP,structure
OG0000370,1,1,9,one:one:many
OG0000371,4,4,3,many:many:many
OG0000372,9,2,0,many:many:none
OG0000373,4,3,4,many:many:many
OG0000374,4,1,6,many:one:many
OG0000375,4,4,3,many:many:many
OG0000376,11,0,0,many:none:none
OG0000377,7,0,4,many:none:many
OG0000378,6,0,5,many:none:many
OG0000379,11,0,0,many:none:none
OG0000380,11,0,0,many:none:none
OG0000381,11,0,0,many:none:none
OG0000382,1,0,10,one:none:many
OG0000383,0,0,11,none:none:many
OG0000384,0,0,11,none:none:many
OG0000385,0,0,11,none:none:many
OG0000386,0,0,11,none:none:many
OG0000387,0,0,11,none:none:many
OG0000388,0,0,11,none:none:many
OG0000389,0,10,0,none:many:none
OG0000390,2,3,5,many:many:many
OG0000391,6,2,2,many:many:many
OG0000392,5,4,1,many:many:one
OG0000393,3,4,3,many:many:many
OG0000394,0,2,8,none:many:many
OG0000395,2,4,4,many:many:many
OG0000396,5,4,1,many:many:one
OG0000397,0,2,8,none:many:many
OG0000398,4,3,3,many:many:many
OG0000399,0,1,9,none:one:many
OG0000400,6,2,2,many:many:many
OG0000401,2,4,4,many:many:many
OG0000402,1,5,4,one:many:many
OG0000403,0,8,2,none:many:many
OG0000404,5,2,3,many:many:many
OG0000405,5,1,4,many:one:many
OG0000406,4,2,4,many:many:many
OG0000407,0,10,0,none:many:none
OG0000408,4,3,3,many:many:many
OG0000409,3,4,3,many:many:many
OG0000410,4,4,2,many:many:many
OG0000411,2,2,6,many:many:many
OG0000412,4,3,3,many:many:many
OG0000413,2,3,5,many:many:many
OG0000414,0,10,0,none:many:none
OG0000415,3,2,5,many:many:many
OG0000416,4,1,5,many:one:many
OG0000417,0,1,9,none:one:many
OG0000418,8,1,1,many:one:one
OG0000419,0,10,0,none:many:none
OG0000420,1,2,7,one:many:many
OG0000421,3,7,0,many:many:none
OG0000422,0,10,0,none:many:none
OG0000423,4,2,4,many:many:many
OG0000424,4,3,3,many:many:many
OG0000425,5,2,3,many:many:many
OG0000426,4,3,3,many:many:many
OG0000427,1,1,8,one:one:many
OG0000428,3,2,5,many:many:many
